era,dapp_id,beneficiary,expected_tier,actual_tier,expected_reward,actual_reward,delta
738,0,XdFFaA9S31uQ9upPyKBGXcrYhFN7jtBkDYLDbDfc1VKaV8W,1,1,2342682248398959405590,2342682248398959405590,0
738,1,anXvpdbMqS46xWb4tsF7BAhVwHsbwG3bmMCFQF2ddSsod9g,3,3,66781687725481594292,66781687725481594292,0
738,2,ZRJ4wcGuf9KFqg1NB6wPctUwd7WcHo9LdBFzskEdSqiH52t,3,3,66781687725481594292,66781687725481594292,0
738,3,YJRfL8FvfVLnvnKwvBWr1Bnav1SH4WztHhwspeAD29mt6xa,3,3,66781687725481594292,66781687725481594292,0
738,4,YJqWvgMJcD1Di3BQvZ2W2KnSGKPfJGMVX6BZ9wfEaipviK9,3,3,66781687725481594292,66781687725481594292,0
738,5,Zxqwap9tKnSaJuzoGzPrYzf13pZ63XUEngv8nVRxvopnW5N,0,0,5210995330094397130423,5210995330094397130423,0
738,6,b1xCL3XGCjLrS2aZnUifnpuK9gCepGcsWboffjaR4F3tVuP,3,3,66781687725481594292,66781687725481594292,0
738,10,YFZUVr9JRE3AMZ8CTjedJkvv9E7q2jcEvQJ8Y9vBgRYhPWc,3,3,66781687725481594292,66781687725481594292,0
738,11,a4iJiYqsy3LK5KezfiDidVrGgUs5HVdffp7a6roBhVV7cuq,1,1,2342682248398959405590,2342682248398959405590,0
738,12,Wmh1EtzS55Yu7nxMmszk2z7oPwbhDpzVn4v6hAnVTfGHcRY,2,2,830738385957077803400,830738385957077803400,0
738,13,aChCmpvZat1Khi1QhnBs93ouXKodCGGNshiLaQ4e6QRRDEQ,1,1,2342682248398959405590,2342682248398959405590,0
738,14,WT2qJs5x8nfeCu9pry2b49oHAkfJdPuQ6ku9HbLx4z2bbUb,0,0,5210995330094397130423,5210995330094397130423,0
738,16,ZUpyfsre39jAomUiBfcapWBHKV57H6UYz7HmhvX9gTd4Fs6,3,3,66781687725481594292,66781687725481594292,0
738,17,ZEUr1PBaxshhhPcF4jeVFVoC6BwCDYj48UsJ5ShquWN2yeE,2,2,830738385957077803400,830738385957077803400,0
738,20,XhjGfuq5T1KoEFp2k5TEDaKBe6o2nFdo8JRXL3UYb1vZySW,1,1,2342682248398959405590,2342682248398959405590,0
738,24,ZUo6331Sq9Fbt4Smx3XBuC2PBEV8s6sXkaJxUawgUqmRYfg,3,3,66781687725481594292,66781687725481594292,0
738,26,aNkovLnKi2q5KLTyjvQFShdemhaQ1mwGcXDkdf81hvLMopX,3,3,66781687725481594292,66781687725481594292,0
738,27,YCx2LEvMzjG7tBbdbfRNTsexU3FvTjZG3PN4bmJ5nx28XtB,3,3,66781687725481594292,66781687725481594292,0
738,28,YkqeedMEm6i8fFiwgbA4AHKespArFCfi8j3znqqx5wtEyPy,3,3,66781687725481594292,66781687725481594292,0
738,31,ZwDkW3D3Z417kFDSh6ez9xhUWpTn1c1DAKZHUQCZXZeMqFN,2,2,830738385957077803400,830738385957077803400,0
738,33,WYYVuTdvqyhJbRApoZnVExN6BnLpehFn9kmnJpQwjz12bn3,2,2,830738385957077803400,830738385957077803400,0
738,35,X4Hsp6EcxNPypWidz4xuVJhoafLdpShzy5ADpLAJZdqeKwz,2,2,830738385957077803400,830738385957077803400,0
738,36,XLtah1f9vJzWKE4Sbck851ArDQus1hAEaN6jtJcNQRujcDB,3,3,66781687725481594292,66781687725481594292,0
738,37,XMAHssEGJvaFyvXYYmuWDXvzCx4oLY5tGnvPLkviMVW4AYd,3,3,66781687725481594292,66781687725481594292,0
738,38,bEKpmuoP86E9JSA5kzLHkFA9R2FHWyoX6dKX3XtvtL3rnKJ,3,3,66781687725481594292,66781687725481594292,0
738,39,ashiYo9RUjSj2f5hUbZY83FCy1ePkf54SFzD1CsZTgmC4qi,3,3,66781687725481594292,66781687725481594292,0
738,40,b9AB1qFXsw81RuTBQ1sCP6PQ6k27QXWoe7VHrv9m6iwmBRK,2,2,830738385957077803400,830738385957077803400,0
738,42,YewXn3eSdX5XKqwem27dXnbsWPtFsnzgXfdX6iNVUEGmPtw,1,1,2342682248398959405590,2342682248398959405590,0
738,47,ZZZgswWp73ymRVpMu84bNfQERLyV9XR6T6DrozRxMdwT6Ez,3,3,66781687725481594292,66781687725481594292,0
738,49,be8WtwsrvLUrJ5tA5Ht3BjKpajBMkRtYmURTa7BqNB6QZUA,2,2,830738385957077803400,830738385957077803400,0
738,51,YXPD211sCj2gjrePAzsTtusqBbXmHp9A56whRXonz97TGKu,2,2,830738385957077803400,830738385957077803400,0
738,52,ZfEuzYHyfo5TZfAx9fsntdkx2W4gDFLPwUNeqSrJTpQJXDc,1,1,2342682248398959405590,2342682248398959405590,0
738,53,WGYLrLw8TPjp1ynU9AiwZtanc7B2CMtB43ssKmawDwfoUsZ,3,3,66781687725481594292,66781687725481594292,0
738,57,Z72w8QNfMmbvq6VJ82yPd2giVHezNtpzVc3ZeSbCPu5j5EV,2,2,830738385957077803400,830738385957077803400,0
738,58,ZNr4n9qc5fAap57oqoSazLpqqauQLzCTVXfKgKJsBp8t4Gr,3,3,66781687725481594292,66781687725481594292,0
738,59,b1ymfVcP5vsT2ZPAWwVs6e2ecNWdFTGWfB8vzWixnyYacam,2,2,830738385957077803400,830738385957077803400,0
738,63,XAAqKgEAdKw3N6tLuJM8RhiGE4DLwSxigGqahF5UBzfFcKL,3,3,66781687725481594292,66781687725481594292,0
738,64,ZP8rbjrkyf5Qkjr32fEy3n6av2nPzHh6Egv62Vu8kgEwZ8Z,1,1,2342682248398959405590,2342682248398959405590,0
738,66,YQ3S4AGrjyMndkjJuzup1fsDHYsD6EZ9BSkhzkFtNRhjDS2,3,3,66781687725481594292,66781687725481594292,0
738,67,ZqpPKt2sk2Xwd1YgYq8UvPF3JJDJ7XcEKFCcybYTeYDaigC,3,3,66781687725481594292,66781687725481594292,0
738,70,XDTAqd8vCpX1mDbU6Bb3jjBYBPCb9UiW5DiyAQvDykfkJ7Q,3,3,66781687725481594292,66781687725481594292,0
738,71,aja8WxDTzNkxttWGv4ndFXWgYmfFcvDyE3AQKikrrcPQnTj,3,3,66781687725481594292,66781687725481594292,0
738,73,aRxv5MQtqoYjW3UFV6gxE3TbWuNnXeXLnirLufHVD9LiE4x,3,3,66781687725481594292,66781687725481594292,0
739,0,XdFFaA9S31uQ9upPyKBGXcrYhFN7jtBkDYLDbDfc1VKaV8W,1,1,2342682248398959405590,2342682248398959405590,0
739,1,anXvpdbMqS46xWb4tsF7BAhVwHsbwG3bmMCFQF2ddSsod9g,3,3,66781687725481594292,66781687725481594292,0
739,2,ZRJ4wcGuf9KFqg1NB6wPctUwd7WcHo9LdBFzskEdSqiH52t,3,3,66781687725481594292,66781687725481594292,0
739,3,YJRfL8FvfVLnvnKwvBWr1Bnav1SH4WztHhwspeAD29mt6xa,3,3,66781687725481594292,66781687725481594292,0
739,4,YJqWvgMJcD1Di3BQvZ2W2KnSGKPfJGMVX6BZ9wfEaipviK9,3,3,66781687725481594292,66781687725481594292,0
739,5,Zxqwap9tKnSaJuzoGzPrYzf13pZ63XUEngv8nVRxvopnW5N,0,0,5210995330094397130423,5210995330094397130423,0
739,6,b1xCL3XGCjLrS2aZnUifnpuK9gCepGcsWboffjaR4F3tVuP,3,3,66781687725481594292,66781687725481594292,0
739,10,YFZUVr9JRE3AMZ8CTjedJkvv9E7q2jcEvQJ8Y9vBgRYhPWc,3,3,66781687725481594292,66781687725481594292,0
739,11,a4iJiYqsy3LK5KezfiDidVrGgUs5HVdffp7a6roBhVV7cuq,1,1,2342682248398959405590,2342682248398959405590,0
739,12,Wmh1EtzS55Yu7nxMmszk2z7oPwbhDpzVn4v6hAnVTfGHcRY,2,2,830738385957077803400,830738385957077803400,0
739,13,aChCmpvZat1Khi1QhnBs93ouXKodCGGNshiLaQ4e6QRRDEQ,1,1,2342682248398959405590,2342682248398959405590,0
739,14,WT2qJs5x8nfeCu9pry2b49oHAkfJdPuQ6ku9HbLx4z2bbUb,0,0,5210995330094397130423,5210995330094397130423,0
739,16,ZUpyfsre39jAomUiBfcapWBHKV57H6UYz7HmhvX9gTd4Fs6,3,3,66781687725481594292,66781687725481594292,0
739,17,ZEUr1PBaxshhhPcF4jeVFVoC6BwCDYj48UsJ5ShquWN2yeE,2,2,830738385957077803400,830738385957077803400,0
739,20,XhjGfuq5T1KoEFp2k5TEDaKBe6o2nFdo8JRXL3UYb1vZySW,1,1,2342682248398959405590,2342682248398959405590,0
739,23,ZoByK2wayrCHie2GstYZYoKggwF6X1o1NJuXWYmB7ySosV5,3,3,66781687725481594292,66781687725481594292,0
739,24,ZUo6331Sq9Fbt4Smx3XBuC2PBEV8s6sXkaJxUawgUqmRYfg,3,3,66781687725481594292,66781687725481594292,0
739,26,aNkovLnKi2q5KLTyjvQFShdemhaQ1mwGcXDkdf81hvLMopX,3,3,66781687725481594292,66781687725481594292,0
739,27,YCx2LEvMzjG7tBbdbfRNTsexU3FvTjZG3PN4bmJ5nx28XtB,3,3,66781687725481594292,66781687725481594292,0
739,28,YkqeedMEm6i8fFiwgbA4AHKespArFCfi8j3znqqx5wtEyPy,3,3,66781687725481594292,66781687725481594292,0
739,31,ZwDkW3D3Z417kFDSh6ez9xhUWpTn1c1DAKZHUQCZXZeMqFN,2,2,830738385957077803400,830738385957077803400,0
739,33,WYYVuTdvqyhJbRApoZnVExN6BnLpehFn9kmnJpQwjz12bn3,2,2,830738385957077803400,830738385957077803400,0
739,35,X4Hsp6EcxNPypWidz4xuVJhoafLdpShzy5ADpLAJZdqeKwz,2,2,830738385957077803400,830738385957077803400,0
739,36,XLtah1f9vJzWKE4Sbck851ArDQus1hAEaN6jtJcNQRujcDB,3,3,66781687725481594292,66781687725481594292,0
739,37,XMAHssEGJvaFyvXYYmuWDXvzCx4oLY5tGnvPLkviMVW4AYd,3,3,66781687725481594292,66781687725481594292,0
739,38,bEKpmuoP86E9JSA5kzLHkFA9R2FHWyoX6dKX3XtvtL3rnKJ,3,3,66781687725481594292,66781687725481594292,0
739,39,ashiYo9RUjSj2f5hUbZY83FCy1ePkf54SFzD1CsZTgmC4qi,3,3,66781687725481594292,66781687725481594292,0
739,40,b9AB1qFXsw81RuTBQ1sCP6PQ6k27QXWoe7VHrv9m6iwmBRK,2,2,830738385957077803400,830738385957077803400,0
739,42,YewXn3eSdX5XKqwem27dXnbsWPtFsnzgXfdX6iNVUEGmPtw,1,1,2342682248398959405590,2342682248398959405590,0
739,47,ZZZgswWp73ymRVpMu84bNfQERLyV9XR6T6DrozRxMdwT6Ez,3,3,66781687725481594292,66781687725481594292,0
739,49,be8WtwsrvLUrJ5tA5Ht3BjKpajBMkRtYmURTa7BqNB6QZUA,2,2,830738385957077803400,830738385957077803400,0
739,51,YXPD211sCj2gjrePAzsTtusqBbXmHp9A56whRXonz97TGKu,2,2,830738385957077803400,830738385957077803400,0
739,52,ZfEuzYHyfo5TZfAx9fsntdkx2W4gDFLPwUNeqSrJTpQJXDc,1,1,2342682248398959405590,2342682248398959405590,0
739,53,WGYLrLw8TPjp1ynU9AiwZtanc7B2CMtB43ssKmawDwfoUsZ,3,3,66781687725481594292,66781687725481594292,0
739,57,Z72w8QNfMmbvq6VJ82yPd2giVHezNtpzVc3ZeSbCPu5j5EV,2,2,830738385957077803400,830738385957077803400,0
739,58,ZNr4n9qc5fAap57oqoSazLpqqauQLzCTVXfKgKJsBp8t4Gr,3,3,66781687725481594292,66781687725481594292,0
739,59,b1ymfVcP5vsT2ZPAWwVs6e2ecNWdFTGWfB8vzWixnyYacam,2,2,830738385957077803400,830738385957077803400,0
739,63,XAAqKgEAdKw3N6tLuJM8RhiGE4DLwSxigGqahF5UBzfFcKL,3,3,66781687725481594292,66781687725481594292,0
739,64,ZP8rbjrkyf5Qkjr32fEy3n6av2nPzHh6Egv62Vu8kgEwZ8Z,1,1,2342682248398959405590,2342682248398959405590,0
739,66,YQ3S4AGrjyMndkjJuzup1fsDHYsD6EZ9BSkhzkFtNRhjDS2,3,3,66781687725481594292,66781687725481594292,0
739,67,ZqpPKt2sk2Xwd1YgYq8UvPF3JJDJ7XcEKFCcybYTeYDaigC,3,3,66781687725481594292,66781687725481594292,0
739,70,XDTAqd8vCpX1mDbU6Bb3jjBYBPCb9UiW5DiyAQvDykfkJ7Q,3,3,66781687725481594292,66781687725481594292,0
739,71,aja8WxDTzNkxttWGv4ndFXWgYmfFcvDyE3AQKikrrcPQnTj,3,3,66781687725481594292,66781687725481594292,0
739,73,aRxv5MQtqoYjW3UFV6gxE3TbWuNnXeXLnirLufHVD9LiE4x,3,3,66781687725481594292,66781687725481594292,0
740,0,XdFFaA9S31uQ9upPyKBGXcrYhFN7jtBkDYLDbDfc1VKaV8W,1,1,2912523876387895477220,2912523876387895477220,0
740,1,anXvpdbMqS46xWb4tsF7BAhVwHsbwG3bmMCFQF2ddSsod9g,3,3,81887069472911954906,81887069472911954906,0
740,2,ZRJ4wcGuf9KFqg1NB6wPctUwd7WcHo9LdBFzskEdSqiH52t,3,3,81887069472911954906,81887069472911954906,0
740,3,YJRfL8FvfVLnvnKwvBWr1Bnav1SH4WztHhwspeAD29mt6xa,3,3,81887069472911954906,81887069472911954906,0
740,4,YJqWvgMJcD1Di3BQvZ2W2KnSGKPfJGMVX6BZ9wfEaipviK9,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,5,Zxqwap9tKnSaJuzoGzPrYzf13pZ63XUEngv8nVRxvopnW5N,0,0,6368994292337596492739,6368994292337596492739,0
740,6,b1xCL3XGCjLrS2aZnUifnpuK9gCepGcsWboffjaR4F3tVuP,3,3,81887069472911954906,81887069472911954906,0
740,10,YFZUVr9JRE3AMZ8CTjedJkvv9E7q2jcEvQJ8Y9vBgRYhPWc,3,3,81887069472911954906,81887069472911954906,0
740,11,a4iJiYqsy3LK5KezfiDidVrGgUs5HVdffp7a6roBhVV7cuq,1,1,2912523876387895477220,2912523876387895477220,0
740,12,Wmh1EtzS55Yu7nxMmszk2z7oPwbhDpzVn4v6hAnVTfGHcRY,2,2,1023588368411399436333,1023588368411399436333,0
740,13,aChCmpvZat1Khi1QhnBs93ouXKodCGGNshiLaQ4e6QRRDEQ,1,2,2912523876387895477220,1023588368411399436333,1888935507976496040887
740,14,WT2qJs5x8nfeCu9pry2b49oHAkfJdPuQ6ku9HbLx4z2bbUb,0,0,6368994292337596492739,6368994292337596492739,0
740,16,ZUpyfsre39jAomUiBfcapWBHKV57H6UYz7HmhvX9gTd4Fs6,3,3,81887069472911954906,81887069472911954906,0
740,17,ZEUr1PBaxshhhPcF4jeVFVoC6BwCDYj48UsJ5ShquWN2yeE,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,20,XhjGfuq5T1KoEFp2k5TEDaKBe6o2nFdo8JRXL3UYb1vZySW,1,2,2912523876387895477220,1023588368411399436333,1888935507976496040887
740,23,ZoByK2wayrCHie2GstYZYoKggwF6X1o1NJuXWYmB7ySosV5,3,3,81887069472911954906,81887069472911954906,0
740,24,ZUo6331Sq9Fbt4Smx3XBuC2PBEV8s6sXkaJxUawgUqmRYfg,3,3,81887069472911954906,81887069472911954906,0
740,26,aNkovLnKi2q5KLTyjvQFShdemhaQ1mwGcXDkdf81hvLMopX,3,3,81887069472911954906,81887069472911954906,0
740,27,YCx2LEvMzjG7tBbdbfRNTsexU3FvTjZG3PN4bmJ5nx28XtB,3,3,81887069472911954906,81887069472911954906,0
740,28,YkqeedMEm6i8fFiwgbA4AHKespArFCfi8j3znqqx5wtEyPy,3,3,81887069472911954906,81887069472911954906,0
740,31,ZwDkW3D3Z417kFDSh6ez9xhUWpTn1c1DAKZHUQCZXZeMqFN,2,2,1023588368411399436333,1023588368411399436333,0
740,33,WYYVuTdvqyhJbRApoZnVExN6BnLpehFn9kmnJpQwjz12bn3,2,2,1023588368411399436333,1023588368411399436333,0
740,35,X4Hsp6EcxNPypWidz4xuVJhoafLdpShzy5ADpLAJZdqeKwz,2,2,1023588368411399436333,1023588368411399436333,0
740,36,XLtah1f9vJzWKE4Sbck851ArDQus1hAEaN6jtJcNQRujcDB,3,3,81887069472911954906,81887069472911954906,0
740,37,XMAHssEGJvaFyvXYYmuWDXvzCx4oLY5tGnvPLkviMVW4AYd,3,3,81887069472911954906,81887069472911954906,0
740,38,bEKpmuoP86E9JSA5kzLHkFA9R2FHWyoX6dKX3XtvtL3rnKJ,3,3,81887069472911954906,81887069472911954906,0
740,39,ashiYo9RUjSj2f5hUbZY83FCy1ePkf54SFzD1CsZTgmC4qi,3,3,81887069472911954906,81887069472911954906,0
740,40,b9AB1qFXsw81RuTBQ1sCP6PQ6k27QXWoe7VHrv9m6iwmBRK,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,42,YewXn3eSdX5XKqwem27dXnbsWPtFsnzgXfdX6iNVUEGmPtw,1,1,2912523876387895477220,2912523876387895477220,0
740,47,ZZZgswWp73ymRVpMu84bNfQERLyV9XR6T6DrozRxMdwT6Ez,3,3,81887069472911954906,81887069472911954906,0
740,49,be8WtwsrvLUrJ5tA5Ht3BjKpajBMkRtYmURTa7BqNB6QZUA,2,2,1023588368411399436333,1023588368411399436333,0
740,51,YXPD211sCj2gjrePAzsTtusqBbXmHp9A56whRXonz97TGKu,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,52,ZfEuzYHyfo5TZfAx9fsntdkx2W4gDFLPwUNeqSrJTpQJXDc,1,1,2912523876387895477220,2912523876387895477220,0
740,53,WGYLrLw8TPjp1ynU9AiwZtanc7B2CMtB43ssKmawDwfoUsZ,3,3,81887069472911954906,81887069472911954906,0
740,57,Z72w8QNfMmbvq6VJ82yPd2giVHezNtpzVc3ZeSbCPu5j5EV,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,58,ZNr4n9qc5fAap57oqoSazLpqqauQLzCTVXfKgKJsBp8t4Gr,3,3,81887069472911954906,81887069472911954906,0
740,59,b1ymfVcP5vsT2ZPAWwVs6e2ecNWdFTGWfB8vzWixnyYacam,2,3,1023588368411399436333,81887069472911954906,941701298938487481427
740,63,XAAqKgEAdKw3N6tLuJM8RhiGE4DLwSxigGqahF5UBzfFcKL,3,3,81887069472911954906,81887069472911954906,0
740,64,ZP8rbjrkyf5Qkjr32fEy3n6av2nPzHh6Egv62Vu8kgEwZ8Z,1,2,2912523876387895477220,1023588368411399436333,1888935507976496040887
740,66,YQ3S4AGrjyMndkjJuzup1fsDHYsD6EZ9BSkhzkFtNRhjDS2,3,3,81887069472911954906,81887069472911954906,0
740,67,ZqpPKt2sk2Xwd1YgYq8UvPF3JJDJ7XcEKFCcybYTeYDaigC,3,3,81887069472911954906,81887069472911954906,0
740,70,XDTAqd8vCpX1mDbU6Bb3jjBYBPCb9UiW5DiyAQvDykfkJ7Q,3,3,81887069472911954906,81887069472911954906,0
740,71,aja8WxDTzNkxttWGv4ndFXWgYmfFcvDyE3AQKikrrcPQnTj,3,3,81887069472911954906,81887069472911954906,0
740,73,aRxv5MQtqoYjW3UFV6gxE3TbWuNnXeXLnirLufHVD9LiE4x,3,3,81887069472911954906,81887069472911954906,0
741,0,XdFFaA9S31uQ9upPyKBGXcrYhFN7jtBkDYLDbDfc1VKaV8W,1,1,3169511277245650960504,3169511277245650960504,0
741,1,anXvpdbMqS46xWb4tsF7BAhVwHsbwG3bmMCFQF2ddSsod9g,3,3,89331348515903950807,89331348515903950807,0
741,2,ZRJ4wcGuf9KFqg1NB6wPctUwd7WcHo9LdBFzskEdSqiH52t,3,3,89331348515903950807,89331348515903950807,0
